Geographical Area Served,Grant ID,Organization Name,VISN,Station Number
AK,12-AK-001-LT,Catholic Social Services,VISN 20: Northwest Network,"463 - Anchorage, AK"
AL,12-AL-002-LT,"Housing First, Inc.",VISN 16: South Central VA Health CareNetwork,"520 - Gulf Coast HCS, MS"
AR,12-LA-038-LT,"Volunteers of America Southeast Louisiana, Inc.",VISN 16: South Central VA Health Care Network,"629 - New Orleans, LA, 667 - Shreveport,, LA"
AZ,19-AZ-004-LT,Primavera Foundation,VISN 22: Desert Pacific HealthcareNetwork,678 - Southern Arizona HCS
AZ,14-AZ-157-LT,National Community Health Partners,VISN 22: Desert Pacific HealthcareNetwork,"644 - Phoenix, AZ, 664 - San Diego, CA,678 - Southern Arizona HCS"
AZ,19-AZ-436-LT,"Community Bridges, Inc.",VISN 22: Desert Pacific HealthcareNetwork,"644 - Phoenix, AZ"
AZ,20-AZ-159-LT,United States Veterans Initiative,VISN 22: Desert Pacific HealthcareNetwork,"644 - Phoenix, AZ"
CA,14-CA-167-LT,East Oakland Community Project,VISN 21: Sierra Pacific Network,"612 - N. California, CA"
CA,20-CA-440-LT,People Assisting the Homeless,VISN 22: Desert Pacific HealthcareNetwork,"664 - San Diego, CA"
CA,12-CA-013-LT,Goodwill of Silicon Valley (dba GoodwillIndustries of Santa Clara County),VISN 21: Sierra Pacific Network,"640 - Palo Alto, CA"
CA,12-CA-018-LT,"Volunteers of America of GreaterSacramento and Northern Nevada, Inc.",VISN 21: Sierra Pacific Network,"612 - N. California, CA"
CA,19-CA-173-LT,Vietnam Veterans Of San Diego,VISN 22: Desert Pacific HealthcareNetwork,"664 - San Diego, CA"
CA,19-CA-010-LT,Homefirst Services Of Santa Clara County,VISN 21: Sierra Pacific Network,"640 - Palo Alto, CA"
CA,12-CA-016-LT,"SHELTER, Inc.",VISN 21: Sierra Pacific Network,"612 - N. California, CA"
CA,20-CA-359-LT,Good Samaritan Shelter,VISN 22: Desert Pacific HealthcareNetwork,691 - Greater Los Angeles HCS
CA,19-CA-009-LT,Nation’s Finest,VISN 21: Sierra Pacific Network,"612 - N. California, CA, 640 - Palo Alto, CA,662 - San Francisco, CA"
CA,14-CA-169-LT,Housing Matters,VISN 21: Sierra Pacific Network,"640 - Palo Alto, CA"
